Old Key,New Key
dmp.steps.repositories.table.header.title,dmp.steps.repositories.table.header.title
dmp.steps.repositories.use,dmp.steps.repositories.use
dmp.steps.repositories.warning.deletion,dmp.steps.repositories.warning.deletion
dmp.steps.retentionPeriod.question.retentionPeriod,dmp.steps.retentionPeriod.question.retentionPeriod
dmp.steps.retentionPeriod.title,dmp.steps.retentionPeriod.title
dmp.steps.retentionPeriod.years,dmp.steps.retentionPeriod.years
dmp.steps.storage.external.add,dmp.steps.storage.external.add
dmp.steps.storage.external.question.backup.frequency,dmp.steps.storage.external.question.backup.frequency
dmp.steps.storage.external.question.backup.location,dmp.steps.storage.external.question.backup.location
dmp.steps.storage.external.question.info,dmp.steps.storage.external.question.long.info
dmp.steps.storage.external.question.isManagedInternally,dmp.steps.storage.external.question.isManagedInternally
dmp.steps.storage.external.question.location,dmp.steps.storage.external.question.location
dmp.steps.storage.external.question.name,dmp.steps.storage.external.question.name
dmp.steps.storage.external.remove,dmp.steps.storage.external.remove
dmp.steps.storage.intro,dmp.steps.storage.intro
dmp.steps.storage.label,dmp.steps.storage.label
dmp.steps.storage.link,dmp.steps.storage.link
dmp.steps.storage.question.datasets,dmp.steps.storage.question.datasets
dmp.steps.storage.remove,dmp.steps.storage.remove
dmp.steps.summary.allinfo,dmp.steps.summary.allinfo
dmp.steps.summary.costs.none,dmp.steps.summary.costs.none
dmp.steps.summary.data.specify.datasets.datageneration,dmp.steps.summary.data.specify.datasets.datageneration
dmp.steps.summary.data.specify.datasets.missingexplanation,dmp.steps.summary.data.specify.datasets.missingexplanation
dmp.steps.summary.data.specify.datasets.none.produced,dmp.steps.summary.data.specify.datasets.none.produced
dmp.steps.summary.data.specify.datasets.none.reused,dmp.steps.summary.data.specify.datasets.none.reused
dmp.steps.summary.data.specify.datasets.produced,dmp.steps.summary.data.specify.datasets.produced
dmp.steps.summary.data.specify.datasets.unknown.produced,dmp.steps.summary.data.specify.datasets.unknown.produced
dmp.steps.summary.licensing.complete,dmp.steps.summary.licensing.complete
dmp.steps.summary.licensing.incomplete,dmp.steps.summary.licensing.incomplete
dmp.steps.summary.licensing.noproduceddata,dmp.steps.summary.licensing.noproduceddata
dmp.steps.summary.nodatasets,dmp.steps.summary.nodatasets
dmp.steps.summary.noinfo,dmp.steps.summary.noinfo
dmp.steps.summary.notspecified,dmp.steps.summary.notspecified
dmp.steps.summary.partially,dmp.steps.summary.partially
dmp.steps.summary.people.contact.missing,dmp.steps.summary.people.contact.missing
dmp.steps.summary.people.contact.set,dmp.steps.summary.people.contact.set
dmp.steps.summary.people.contributor.additional,dmp.steps.summary.people.contributor.additional
dmp.steps.summary.people.contributor.multiple,dmp.steps.summary.people.contributor.multiple
dmp.steps.summary.people.contributor.none,dmp.steps.summary.people.contributor.none
dmp.steps.summary.people.contributor.one,dmp.steps.summary.people.contributor.one
dmp.steps.summary.project.none,dmp.steps.summary.project.none
dmp.steps.summary.repositories.deposited.complete,dmp.steps.summary.repositories.deposited.complete
dmp.steps.summary.repositories.deposited.incomplete,dmp.steps.summary.repositories.deposited.incomplete
dmp.steps.summary.repositories.noproduceddata,dmp.steps.summary.repositories.noproduceddata
dmp.steps.summary.storage.allinfo,dmp.steps.summary.storage.allinfo
dmp.steps.summary.storage.missingexplanation,dmp.steps.summary.storage.missingexplanation
dmp.steps.summary.storage.missingstorage,dmp.steps.summary.storage.missingstorage
dmp.steps.summary.storage.nonestored,dmp.steps.summary.storage.nonestored
