old_key,new_key,default_value_en,default_value_de,context,file_source
dmp.steps.data.reuse.intro,dmp.steps.data.reuse.intro,This step helps you to think about foreseeable research uses or users of your data sets and what potential reusers require to access your data.,,DMP form step content,libs/damap/src/assets/i18n/templates/en.json
dmp.steps.data.reuse.label,dmp.steps.data.reuse.label,Reuse of data,,Form label,libs/damap/src/assets/i18n/templates/en.json
dmp.steps.data.reuse.question.restrictedDataAccess,dmp.steps.data.reuse.question.restrictedDataAccess,"For the following datasets restricted access was selected, explain how others will get access to the data:",,DMP form step content,libs/damap/src/assets/i18n/templates/en.json
dmp.steps.data.reuse.question.targetAudience,dmp.steps.data.reuse.question.targetAudience,Who is the target audience and who could be interested in reusing the data and why?,,DMP form step content,libs/damap/src/assets/i18n/templates/en.json
dmp.steps.data.reuse.question.tools,dmp.steps.data.reuse.question.tools,Indicate whether potential users need specific tools or software to access and (re-)use the data.,,DMP form step content,libs/damap/src/assets/i18n/templates/en.json
dmp.steps.data.reuse.rightLabel,dmp.steps.data.reuse.rightLabel,Data reuse planning,,Form label,libs/damap/src/assets/i18n/templates/en.json
dmp.steps.data.reuse.summaryLine,dmp.steps.data.reuse.summaryLine,Consider potential research uses and users of your data sets.,,DMP form step content,libs/damap/src/assets/i18n/templates/en.json
dmp.steps.data.specify.answer.kind.none,dmp.steps.data.specify.answer.kind.none,No data will be created or analysed.,,DMP form step content,libs/damap/src/assets/i18n/templates/en.json
dmp.steps.data.specify.answer.kind.reuse.none,dmp.steps.data.specify.answer.kind.reuse.none,No data will be reused.,,DMP form step content,libs/damap/src/assets/i18n/templates/en.json
dmp.steps.data.specify.answer.kind.specify,dmp.steps.data.specify.answer.kind.specify,Specify datasets.,,DMP form step content,libs/damap/src/assets/i18n/templates/en.json
dmp.steps.data.specify.answer.kind.unknown,dmp.steps.data.specify.answer.kind.unknown,I don't know yet.,,DMP form step content,libs/damap/src/assets/i18n/templates/en.json
dmp.steps.data.specify.button.add.doi,dmp.steps.data.specify.button.add.doi,Add dataset,,Button label,libs/damap/src/assets/i18n/templates/en.json
dmp.steps.data.specify.button.add.manual,dmp.steps.data.specify.button.add.manual,Add dataset manually,,Button label,libs/damap/src/assets/i18n/templates/en.json
dmp.steps.data.specify.dialog.add,dmp.steps.data.specify.dialog.add,Add dataset,,Dialog box content,libs/damap/src/assets/i18n/templates/en.json
dmp.steps.data.specify.dialog.button.add,dmp.steps.data.specify.dialog.button.add,Add,,Button label,libs/damap/src/assets/i18n/templates/en.json
dmp.steps.data.specify.dialog.button.addTechnicalResource,dmp.steps.data.specify.dialog.button.addTechnicalResource,Add new technical resource,,Button label,libs/damap/src/assets/i18n/templates/en.json
dmp.steps.data.specify.dialog.button.cancel,dmp.steps.data.specify.dialog.button.cancel,Cancel,,Button label,libs/damap/src/assets/i18n/templates/en.json
dmp.steps.data.specify.dialog.button.close,dmp.steps.data.specify.dialog.button.close,Close,,Button label,libs/damap/src/assets/i18n/templates/en.json
dmp.steps.data.specify.dialog.button.update,dmp.steps.data.specify.dialog.button.update,Update,,Button label,libs/damap/src/assets/i18n/templates/en.json
dmp.steps.data.specify.dialog.description,dmp.steps.data.specify.dialog.description,Description,,Dialog box content,libs/damap/src/assets/i18n/templates/en.json
